"genus_species","population_id","lifespan_days","season_when_away_100km_start","season_when_away_100km_stop","season_inactive_start","season_inactive_stop","latitude","longitude","realm_general2","maximum_body_size_svl_hbl_cm"
"Luxilus cornutus","Luxilus cornutus_43.64_NA","2190","","","none","none",43.64,-79.49,"Freshwater","18"
"Luxilus cornutus","Luxilus cornutus_45.83_NA","2190","","","none","none",45.83,-78.42,"Freshwater","18"
"Meda fulgida","Meda fulgida_32.85_NA","730","","","none","none",32.85,-110.61,"Freshwater","9.1"
"Micropterus dolomieu","Micropterus dolomieu_35.66_NA","9490","","","none","none",35.66,-97.47,"Freshwater","69"
"Micropterus dolomieu","Micropterus dolomieu_42.08_NA","9490","","","none","none",42.08,-81.34,"Freshwater","69"
"Micropterus dolomieu","Micropterus dolomieu_38.104_NA","9490","","","none","none",38.104,-92.328,"Freshwater","69"
"Micropterus punctulatus","Micropterus punctulatus_35.66_NA","2555","","","none","none",35.66,-97.47,"Freshwater","63.5"
"Micropterus salmoides","Micropterus salmoides_29.48_NA","8395","","","0.708 and 0.958","0.708 and 0.958",29.48,-81.68,"Freshwater","97"
"Micropterus salmoides","Micropterus salmoides_34.18_NA","8395","","","0.708 and 0.958","0.708 and 0.958",34.18,-111.71,"Freshwater","97"
"Micropterus salmoides","Micropterus salmoides_35.66_NA","8395","","","0.708 and 0.958","0.708 and 0.958",35.66,-97.47,"Freshwater","97"
"Micropterus salmoides","Micropterus salmoides_35.96_NA","8395","","","0.708 and 0.958","0.708 and 0.958",35.96,-83.92,"Freshwater","97"
"Micropterus salmoides","Micropterus salmoides_41.65_NA","8395","","","0.708 and 0.958","0.708 and 0.958",41.65,-82.83,"Freshwater","97"
"Micropterus salmoides","Micropterus salmoides_39.507_NA","8395","","","0.708 and 0.958","0.708 and 0.958",39.507,-91.794,"Freshwater","97"
"Morone chrysops","Morone chrysops_42.08_NA","3285","","","none","none",42.08,-81.34,"Freshwater","45"
"Notemigonus crysoleucas","Notemigonus crysoleucas_29.48_NA","3285","","","none","none",29.48,-81.68,"Freshwater","32"
"Notemigonus crysoleucas","Notemigonus crysoleucas_35.66_NA","3285","","","none","none",35.66,-97.47,"Freshwater","32"
"Notemigonus crysoleucas","Notemigonus crysoleucas_41.65_NA","3285","","","none","none",41.65,-82.83,"Freshwater","32"
"Notemigonus crysoleucas","Notemigonus crysoleucas_45.83_NA","3285","","","none","none",45.83,-78.42,"Freshwater","32"
"Notemigonus crysoleucas","Notemigonus crysoleucas_39.201_NA","3285","","","none","none",39.201,-92.177,"Freshwater","32"
"Notropis atherinoides","Notropis atherinoides_34.86_NA","1825","","","none","none",34.86,-96.73,"Freshwater","13"
"Notropis atherinoides","Notropis atherinoides_35.66_NA","1825","","","none","none",35.66,-97.47,"Freshwater","13"
"Notropis atherinoides","Notropis atherinoides_41.65_NA","1825","","","none","none",41.65,-82.83,"Freshwater","13"
"Notropis atherinoides","Notropis atherinoides_42.08_NA","1825","","","none","none",42.08,-81.34,"Freshwater","13"
"Notropis atherinoides","Notropis atherinoides_43.64_NA","1825","","","none","none",43.64,-79.49,"Freshwater","13"
"Notropis rubellus","Notropis rubellus_42.6_NA","1095","","","none","none",42.6,-78.47,"Freshwater","9"
"Notropis rubellus","Notropis rubellus_38.859194_NA","1095","","","none","none",38.859194,-93.035753,"Freshwater","9"
"Notropis stramineus","Notropis stramineus_42.6_NA","1095","","","none","none",42.6,-78.47,"Freshwater","8.2"
