"genus","species","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_distance2_category","logic_source_for_dispersal_distance2","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km...migratory.only.","season_when_away_100km...migratory.only.","logic_source_season_when_away","Home.range.size_Km2","logic.source_for_Home.range.size","data_gatherer","lifespan_days","lifespan_days_reference"
"Ameiurus","catus","1095","NatureServe, 2020","1095","NatureServe, 2020","Y","1-10","Hayes et al., 2017",NA,NA,"95","Froese & Pauly, 2000","30.5","Froese & Pauly, 2000","30.5","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","5110","De Magalhães & Costa, 2009"
"Ameiurus","nebulosus","1095","NatureServe, 2020","1095","NatureServe, 2020","Y","1-10","Sakaris et al., 2005",NA,NA,"55","Froese & Pauly, 2000","25","Froese & Pauly, 2000","25","Froese & Pauly, 2000","Y","winter","NatureServe, 2020;Froese & Pauly, 2000","non-migratory","IUCN, 2020",NA,NA,"","0.045-0.197","Sakaris et al., 2005","Nikki","3285","NatureServe, 2020;Froese & Pauly, 2000"
"Ictalurus","punctatus","730","Froese & Pauly, 2000","730","Froese & Pauly, 2000","Y","100+","Welker, 1967;NatureServe, 2020",NA,NA,"132","Froese & Pauly, 2000","57","Froese & Pauly, 2000","57","Froese & Pauly, 2000","Y","none","Cooke & McKinley, 1999","non-migratory","IUCN, 2020",NA,NA,"","kunk","Meyers et al., 2015","Nikki","8760","Meyers et al., 2015;Froese & Pauly, 2000"
"Kuhlia","sandvicensis","unk","","unk","","","unk","",NA,NA,"25","Froese & Pauly, 2000","","","","","","none","Froese & Pauly, 2000","migratory","Poepoe et al., 2003","February/March/April",NA,"Poepoe et al., 2003","unk","","Nikki","unk",""
"Morone","saxatilis","1460","IUCN, 2020","730","IUCN, 2020","","1-10","Secor et al., 1995;Ng et al., 2007;Eldridge, 1988",NA,NA,"200","Froese & Pauly, 2000","120","Froese & Pauly, 2000","120","Froese & Pauly, 2000","Y","none","Cooke & McKinley, 1999","migratory","IUCN, 2020","late winter-early spring","late winter-early spring","Eldridge, 1988;IUCN, 2020;Meyers et al., 2015","0.025446-","Ng et al., 2007","Nikki","10950","Meyers et al., 2015;Froese & Pauly, 2000"
"Chelon","subviridis","365","Al‐Daham & Wahab, 1991","365","Al‐Daham & Wahab, 1991","Y","10-100","Saha & Kabir, 2015",NA,NA,"40","Froese & Pauly, 2000","25","Froese & Pauly, 2000","25","Froese & Pauly, 2000","Y","","","non-migratory","C. W. Chang & Iizuka, 2012",NA,NA,"","unk","","Nikki","2190","Al‐Daham & Wahab, 1991"
"Gobionotothen","gibberifrons","2190","IUCN, 2020","unk","","","100+","Matschiner et al., 2009",NA,NA,"55","Froese & Pauly, 2000","40","Froese & Pauly, 2000","40","Froese & Pauly, 2000","Y","none","North, 2001","non-migratory","Marschoff et al., 2012",NA,NA,"","unk","","Nikki","4380","Marschoff et al., 2012"
"Notothenia","coriiceps","2555","Calì et al., 2017","2555","Calì et al., 2017","","100+","Kellermann, 1991",NA,NA,"62","Froese & Pauly, 2000","50","Froese & Pauly, 2000","50","Froese & Pauly, 2000","Y","June - Oct","H. A. Campbell et al., 2008","unk","",NA,NA,"","0.00018","Zamzow et al., 2011","Nikki","6570","Calì et al., 2017"
"Pagothenia","borchgrevinki","1460","Pankhurst, 1990","1095","Pankhurst, 1990","","unk","",NA,NA,"28","Froese & Pauly, 2000","","","","","","none","North, 2001","unk","",NA,NA,"","unk","","Nikki","2555","El-Sayed, 1994"
"Trematomus","hansoni","2555","M. La Mesa & Vacchi, 2001","2555","M. La Mesa & Vacchi, 2001","Y","100+","A. P. Van de Putte et al., 2012",NA,NA,"41","Froese & Pauly, 2000","25","Froese & Pauly, 2000","25","Froese & Pauly, 2000","Y","","","non-migratory","Somero & DeVries, 1967",NA,NA,"","unk","","Nikki","7300","M. La Mesa & Vacchi, 2001"
