"genus","species","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_distance2_category","logic_source_for_dispersal_distance2","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km...migratory.only.","season_when_away_100km...migratory.only.","logic_source_season_when_away","Home.range.size_Km2","logic.source_for_Home.range.size","data_gatherer","lifespan_days","lifespan_days_reference"
"Hypentelium","nigricans","1095","NatureServe, 2020","730","NatureServe, 2020","","0-1","Gleason, 1984;Raney & Lachner, 1946",NA,NA,"61","Froese & Pauly, 2000","29.8","Froese & Pauly, 2000","29.8","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.013","Gleason, 1984","Nikki","4015","O’Kelley & Powers, 2007"
"Micropterus","salmoides","90","Meyers et al., 2015","90","Meyers et al., 2015","Y","0-1","Waters & Noble, 2004;Murray et al., 2015",NA,NA,"97","Froese & Pauly, 2000","40","Froese & Pauly, 2000","40","Froese & Pauly, 2000","Y","fall-winter","Crawshaw, 1984","non-migratory","IUCN, 2020",NA,NA,"","0.1-2","Meyers et al., 2015","Nikki","8395","Froese & Pauly, 2000;Meyers et al., 2015"
"Micropterus","dolomieu","2007","De Magalhães & Costa, 2009","2007","De Magalhães & Costa, 2009","","0-1","Meyers et al., 2015",NA,NA,"69","Froese & Pauly, 2000","8","Froese & Pauly, 2000","8","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.13-2.01","Hubert & Lackey, 1980","Nikki","9490","Froese & Pauly, 2000;Meyers et al., 2015"
"Dorosoma","cepedianum","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","unk","",NA,NA,"57","Froese & Pauly, 2000","35","Froese & Pauly, 2000","35","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","3650","Froese & Pauly, 2000;NatureServe, 2020"
"Sardinops","sagax","821","De Magalhães & Costa, 2009","821","De Magalhães & Costa, 2009","","unk","",NA,NA,"39.5","Froese & Pauly, 2000","20","Froese & Pauly, 2000","20","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","summer","summer","Wind & Dupuis, 2002","unk","","Nikki","25*365","IUCN, 2020"
"Cottus","bairdii","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","0-1","Meyers et al., 2015",NA,NA,"15","Froese & Pauly, 2000","8.4","Froese & Pauly, 2000","8.4","Froese & Pauly, 2000","Y","none","Breen et al., 2009","non-migratory","IUCN, 2020",NA,NA,"","0.0000196","Meyers et al., 2015","Nikki","730","Froese & Pauly, 2000"
"Cottus","carolinae","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","0-1","Wells et al., 2017",NA,NA,"18","Froese & Pauly, 2000","9.5","Froese & Pauly, 2000","9.5","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.000042","NatureServe, 2020","Nikki","1460","NatureServe, 2020"
"Campostoma","anomalum","730","NatureServe, 2020","730","NatureServe, 2020","Y","1-10","Heithaus & Laushman, 1997",NA,NA,"22","Froese & Pauly, 2000","18.7","Froese & Pauly, 2000","18.7","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","2190","Meyers et al., 2015"
"Couesius","plumbeus","1095","Meyers et al., 2015","1095","Meyers et al., 2015","Y","1-10","Debruyn, 2014",NA,NA,"23","Froese & Pauly, 2000","10.5","Froese & Pauly, 2000","10.5","Froese & Pauly, 2000","Y","","","migratory","Debruyn, 2014","Spring-Summer",NA,"Debruyn, 2014","8.042","Meyers et al., 2015","Nikki","2555","Froese & Pauly, 2000;Meyers et al., 2015"
"Ctenopharyngodon","idella","1520","De Magalhães & Costa, 2009","1460","De Magalhães & Costa, 2009","","10-100","Nixon & Miller, 1978;Froese & Pauly, 2000;A. E. George & Chapman, 2015",NA,NA,"150","Froese & Pauly, 2000","10.7","Froese & Pauly, 2000","10.7","Froese & Pauly, 2000","Y","none","Nixon & Miller, 1978","non-migratory","NatureServe, 2020",NA,NA,"","32.32","Chilton & Poarch, 1997","Nikki","7665","Froese & Pauly, 2000;NatureServe, 2020"
"Cyprinus","carpio","1460","IUCN, 2020","1095","IUCN, 2020","","10-100","Stuart & Jones, 2006",NA,NA,"120","Froese & Pauly, 2000","31","Froese & Pauly, 2000","31","Froese & Pauly, 2000","Y","","","non-migratory","Stuart & Jones, 2006",NA,NA,"","78.54","Stuart & Jones, 2006","Nikki","13870","Froese & Pauly, 2000;NatureServe, 2020"
"Labeo","rohita","1073","De Magalhães & Costa, 2009","985","De Magalhães & Costa, 2009","","unk","",NA,NA,"200","Froese & Pauly, 2000","","","","","","","","non-migratory","Mir et al., 2013",NA,NA,"","unk","","Nikki","3650","Froese & Pauly, 2000"
"Leuciscus","idus","2007","De Magalhães & Costa, 2009","1825","De Magalhães & Costa, 2009","","100+","Winter & Fredrich, 2003;Kulíšková et al., 2009",NA,NA,"85","Froese & Pauly, 2000","30","Froese & Pauly, 2000","30","Froese & Pauly, 2000","Y","none","Kulíšková et al., 2009","migratory","IUCN, 2020","Mar-Apr","Mar-Apr","Kulíšková et al., 2009;Winter & Fredrich, 2003;IUCN, 2020","0.0194958","Kulíšková et al., 2009","Nikki","6570","IUCN, 2020;Froese & Pauly, 2000"
"Rutilus","rutilus","1095","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","0-1","W. P. Williams, 1965;Goldspink, 1977",NA,NA,"50.2","Froese & Pauly, 2000","25","Froese & Pauly, 2000","25","Froese & Pauly, 2000","Y","none","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013",NA,NA,"","0.018","W. P. Williams, 1965","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
"Scardinius","erythrophthalmus","1460","De Magalhães & Costa, 2009","1095","De Magalhães & Costa, 2009","","unk","",NA,NA,"61.7","Froese & Pauly, 2000","","","","","","none","M. Kennedy & Fitzmaurice, 1974","non-migratory","M. Kennedy & Fitzmaurice, 1974",NA,NA,"","unk","","Nikki","6935","IUCN, 2020;Froese & Pauly, 2000"
"Semotilus","atromaculatus","1095","De Magalhães & Costa, 2009","1095","De Magalhães & Costa, 2009","","0-1","Meyers et al., 2015",NA,NA,"30.3","Froese & Pauly, 2000","19.1","Froese & Pauly, 2000","19.1","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.013-0.03","Belica & Rahel, 2008","Nikki","2920","Froese & Pauly, 2000"
"Esox","lucius","1116","De Magalhães & Costa, 2009","889","De Magalhães & Costa, 2009","","1-10","L. M. Miller et al., 2001;IUCN, 2020",NA,NA,"137","Froese & Pauly, 2000","40","Froese & Pauly, 2000","40","Froese & Pauly, 2000","Y","none","Diana et al., 1977","non-migratory","IUCN, 2020",NA,NA,"","0.0002-0.95","Knight et al., 2008","Nikki","10950","Froese & Pauly, 2000;Meyers et al., 2015"
"Esox","masquinongy","1825","De Magalhães & Costa, 2009","1460","De Magalhães & Costa, 2009","","1-10","Jennings et al., 2011;IUCN, 2020;NatureServe, 2020",NA,NA,"183","Froese & Pauly, 2000","95","Froese & Pauly, 2000","95","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.39-4.43","M. L. Miller & Menzel, 1986","Nikki","10950","Froese & Pauly, 2000;Meyers et al., 2015"
"Gobius","paganellus","912","De Magalhães & Costa, 2009","912","De Magalhães & Costa, 2009","","0-1","Vinagre et al., 2016;Roma et al., 2018;IUCN, 2020",NA,NA,"13","Froese & Pauly, 2000","","","","","","","","non-migratory","P. J. Miller, 1961",NA,NA,"","0.00000079-0.0000169","Roma et al., 2018","Nikki","3650","Froese & Pauly, 2000"
"Ameiurus","melas","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","unk","",NA,NA,"66","Froese & Pauly, 2000","26.6","Froese & Pauly, 2000","26.6","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","kunk","Meyers et al., 2015","Nikki","3650","Froese & Pauly, 2000;Meyers et al., 2015"
"Ameiurus","natalis","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","unk","",NA,NA,"60","Froese & Pauly, 2000","22.5","Froese & Pauly, 2000","22.5","Froese & Pauly, 2000","Y","none","Greenbank, 1956","non-migratory","IUCN, 2020",NA,NA,"","kunk","Meyers et al., 2015","Nikki","2555","Meyers et al., 2015"
"Dicentrarchus","labrax","1460","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","100+","Meyers et al., 2015;Kelley & Pickett, 1987",NA,NA,"103","Froese & Pauly, 2000","50","Froese & Pauly, 2000","50","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","autumn/winter","autumn/winter","Kelley & Pickett, 1987;Meyers et al., 2015","804.25","Kelley & Pickett, 1987","Nikki","10950","Froese & Pauly, 2000"
"Morone","chrysops","1095","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","100+","Starnes et al., 1983;NatureServe, 2020",NA,NA,"45","Froese & Pauly, 2000","31.8","Froese & Pauly, 2000","31.8","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.00374-52.22","Martin et al., 2009","Nikki","3285","Froese & Pauly, 2000;Meyers et al., 2015"
"Mugil","cephalus","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","10-100","Strydom & D’Hotman, 2005;Meyers et al., 2015",NA,NA,"100","Froese & Pauly, 2000","50","Froese & Pauly, 2000","50","Froese & Pauly, 2000","Y","","","migratory","Meyers et al., 2015","autumn/winter",NA,"Meyers et al., 2015","kunk","Meyers et al., 2015","Nikki","5840","IUCN, 2020;Froese & Pauly, 2000"
"Trematomus","bernacchii","2007","De Magalhães & Costa, 2009","1277","De Magalhães & Costa, 2009","","100+","A. Van de Putte, 2008",NA,NA,"28","Froese & Pauly, 2000","25","Froese & Pauly, 2000","25","Froese & Pauly, 2000","Y","none","Miyamoto & Tanimura, 1999","non-migratory","Corbett et al., 2014",NA,NA,"","0.79","Miyamoto & Tanimura, 1999","Nikki","3650","Froese & Pauly, 2000"
"Perca","fluviatilis","1368","De Magalhães & Costa, 2009","821","De Magalhães & Costa, 2009","","10-100","Bergek & Olsson, 2009;Bruylants et al., 1986",NA,NA,"60","Froese & Pauly, 2000","25","Froese & Pauly, 2000","25","Froese & Pauly, 2000","Y","none","Le Cren, 1951","non-migratory","Riede, 2004",NA,NA,"","0.0000665-0.015","Bruylants et al., 1986","Nacho/Nikki","8030","IUCN, 2020;Froese & Pauly, 2000"
"Oncorhynchus","kisutch","1095","De Magalhães & Costa, 2009","1095","De Magalhães & Costa, 2009","","10-100","Labelle, 1992;NatureServe, 2020",NA,NA,"108","Froese & Pauly, 2000","71","Froese & Pauly, 2000","71","Froese & Pauly, 2000","Y","none","Bustard & Narver, 1975","migratory","NatureServe, 2020;Riede, 2004","fall/winter","fall/winter","NatureServe, 2020","unk","","Nacho/Nikki","1825","Meerburg, 1986;Froese & Pauly, 2000"
"Salvelinus","fontinalis","730","De Magalhães & Costa, 2009","730","De Magalhães & Costa, 2009","","10-100","H. C. White, 1941;NatureServe, 2020",NA,NA,"86","Froese & Pauly, 2000","26.4","Froese & Pauly, 2000","26.4","Froese & Pauly, 2000","Y","","","migratory","NatureServe, 2020;Riede, 2004","fall",NA,"NatureServe, 2020;Meyers et al., 2015","unk","","Nacho/Nikki","8760","Altman & Dittmer, 1962;Froese & Pauly, 2000"
"Salvelinus","alpinus","3285","De Magalhães & Costa, 2009","3285","De Magalhães & Costa, 2009","","10-100","Bernatchez et al., 1998;DeCicco, 1992",NA,NA,"107","Froese & Pauly, 2000","40","Froese & Pauly, 2000","40","Froese & Pauly, 2000","Y","none","Mortensen et al., 2007","migratory","IUCN, 2020","summer","summer","DeCicco, 1992;Meyers et al., 2015","kunk","Meyers et al., 2015","Nacho/Nikki","14600","Meyers et al., 2015;Froese & Pauly, 2000"
"Salvelinus","namaycush","4927","De Magalhães & Costa, 2009","4745","De Magalhães & Costa, 2009","","10-100","Binder et al., 2015;Bronte et al., 2007;NatureServe, 2020",NA,NA,"150","Froese & Pauly, 2000","50","Froese & Pauly, 2000","50","Froese & Pauly, 2000","Y","none","Flavelle et al., 2001","migratory","NatureServe, 2020","fall","fall","NatureServe, 2020","0.8-10.1","Flavelle et al., 2001","Nacho/Nikki","18250","Meyers et al., 2015;Froese & Pauly, 2000"
"Pseudophryne","bibronii","unk","","unk","","","0-1","Barton, 1981",NA,NA,"3.6","Oliveira et al., 2017","","","","","","winter","Woodruff, 1977","non-migratory","",NA,NA,"","0.00230688","Woodruff, 1977","Nikki","2190","Woodruff, 1977"
"Lithobates","clamitans","365","AmphibiaWeb, 2020","365","AmphibiaWeb, 2020","Y","1-10","AmphibiaWeb, 2020",NA,NA,"10.8","NatureServe, 2020","","","","","","winter","AmphibiaWeb, 2020","non-migratory","",NA,NA,"","0.00002-0.0002","AmphibiaWeb, 2020","Nikki","2000","AmphibiaWeb, 2020"
"Rhinella","granulosa","unk","","unk","","","unk","",NA,NA,"9","Oliveira et al., 2017","","","","","","none","J. E. Carvalho et al., 2010","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Rhinella","marina","365","Oliveira et al., 2017","365","Oliveira et al., 2017","Y","0-1","",NA,NA,"24.1","Oliveira et al., 2017","","","","","","winter+dry","AmphibiaWeb, 2020","non-migratory","",NA,NA,"","0.00034-0.002812","AmphibiaWeb, 2020","Nikki","9052","Oliveira et al., 2017"
"Spea","hammondii","730","AmphibiaWeb, 2020","365","AmphibiaWeb, 2020","","0-1","Baumberger et al., 2019",NA,NA,"6.1","Oliveira et al., 2017","","","","","","summer","AmphibiaWeb, 2020","non-migratory","",NA,NA,"","0.000025-0.00562","Baumberger et al., 2019","Nikki","kunk","AmphibiaWeb, 2020"
"Pleurodema","thaul","730","Iturra-Cid et al., 2010","730","Iturra-Cid et al., 2010","","unk","",NA,NA,"6.296","Iturra-Cid et al., 2010","","","","","","winter","Iturra-Cid et al., 2010","non-migratory","",NA,NA,"","unk","","Nikki","1825","Iturra-Cid et al., 2010"
"Drosophila","melanogaster","9","Sgrò & Partridge, 2000","9","Sgrò & Partridge, 2000","","1-10","Coyne & Milstead, 1987",NA,NA,"0.3","Meyers et al., 2015","","","","","","winter","Lirakis et al., 2018","non-migratory","",NA,NA,"","unk","","Nikki","65","R. S. Miller & Thomas, 1958"
"Rhinella","spinulosa","unk","","unk","","","0-1","Parr, 1973",NA,NA,"8","Womack et al., 2016","","","","","","none","Rodríguez et al., 2019","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Atractosteus","spatula","4015","Meyers et al., 2015","2190","Meyers et al., 2015","","10-100","Buckmeier, 2008",NA,NA,"300","Meyers et al., 2015","","","","","","","","non-migratory","Buckmeier et al., 2013",NA,NA,"","22.9-475.29","Buckmeier, 2008","Nikki","18250","Meyers et al., 2015"
"Ischnura","elegans","180","Thompson, 1978","180","Thompson, 1978","Y","0-1","Parr, 1973",NA,NA,"3.5","Watson & Dallwitz, 2019","","","","","","","","non-migratory","",NA,NA,"","0.13","Parr, 1973","Nikki","540","Piersanti et al., 2015"
"Temnothorax","curvispinosus","unk","","unk","","","0-1","Pratt, 2008",NA,NA,"0.059","Geraghty et al., 2007","","","","","","winter?","Alloway et al., 1982","non-migratory","",NA,NA,"","unk","","Nikki","5475","Diamond et al., 2017"
"Mauremys","reevesii","1825","IUCN, 2020","unk","","","unk","",NA,NA,"24","IUCN, 2020","","","","","","","","unk","",NA,NA,"","unk","","Nikki","8869.5",""
"Trachemys","scripta elegans","1825","IUCN, 2020","730","IUCN, 2020","","1-10","Meyers et al., 2015",NA,NA,"29","IUCN, 2020","","","","","","","","non-migratory","",NA,NA,"","unk","","Nikki","15074.5","De Magalhães & Costa, 2009"
"Rhynchocypris","oxycephalus","365","Liang et al., 2014","365","Liang et al., 2014","","unk","",NA,NA,"17.2","Froese & Pauly, 2000","","","","","","","","non-migratory","Nishida et al., 2014",NA,NA,"","unk","","Nikki","1460","Liang et al., 2014"
"Ceratitis","capitata","17.5","H. V. Weems, 1981","17.5","H. V. Weems, 1981","","1-10","Meats & Smallridge, 2007",NA,NA,"0.5","H. V. Weems, 1981","","","","","","","","non-migratory","",NA,NA,"","unk","","Nikki","365","H. V. Weems, 1981"
"Lampropholis","coggeri","unk","","unk","","","unk","",NA,NA,"4.5","Llewelyn et al., 2017","","","","","","","","unk","",NA,NA,"","unk","","Nikki","1095","Llewelyn et al., 2016"
"Orchesella","cincta","40","Zizzari et al., 2009","49","Zizzari et al., 2009","","0-1","Timmermans et al., 2005",NA,NA,"0.4","Driessen, 2007","","","","","","","","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Tigriopus","californicus","20","Vittor, 1971","unk","","","unk","",NA,NA,"0.14","Powlik et al., 1997","","","","","","","","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Fundulus","parvipinnis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmo","salar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siphateles","bicolor mohavensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cottus","cognatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chirodica","chalcoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podacarus","auberti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Halozetes","belgicae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Halozetes","fulvus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Halozetes","marinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Halozetes","marionensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dasyatis","sabina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithobates","virgatipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myro","kerguelenensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prinerigone","vagans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Linepithema","humile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mya","arenaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gemma","gemma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mulinia","lateralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dendropsophus","molitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atrichum","undulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurycea","multiplicata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Etheostoma","cragini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poeciliopsis","occidentalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gila","elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gila","intermedia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xyrauchen","texanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anolis","distichus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anolis","sagrei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metacarcinus","magister",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Takydromus","formosanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Takydromus","stejnegeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphenomorphus","incognitus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphenomorphus","taiwanensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xantusia","vigilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eremias","multiocellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Petrosaurus","mearnsi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trimeresurus","gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Protobothrops","mucrosquamatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trimeresurus","stejnegeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thamnophis","elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
