"intratherm_id","genus_species","phylum","class","order","family","extractor","ref","original_compilation","population_id","acclim_temp","latitude","longitude","coordinates_source","location_description","acclim_time","parameter_value","parameter_tmax_or_tmin","error_estimate","error_type","sample_size","metric_type","metric_description","ramping_rate","ramping_to_reach_st","duration_of_chronic_exposure","temp_before_pretreament_held_or_ff_for_field_fresh","timing_of_collection","elevation_of_collection","life_stage.x","notes.x","realm_general2","Notes","genus","species","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km","season_when_away_100km","logic_source_season_when_away","data_gatherer","lifespan_days","lifespan_days_reference"
1970,"Oncorhynchus mykiss","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Cherry et al. 1977","Comte","Oncorhynchus mykiss_36.94_NA_-81.05","21",36.94,-81.05,"","New River drainage US",7,27,"tmax",NA,"SD",10,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Oncorhynchus","mykiss","122","Froese & Pauly, 2000","","","migratory","NatureServe, 2020","Spring","Spring","NatureServe, 2020","Nikki","4015","Froese & Pauly, 2000;NatureServe, 2020"
1971,"Oncorhynchus mykiss","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Cherry et al. 1977","Comte","Oncorhynchus mykiss_36.94_NA_-81.05","24",36.94,-81.05,"","New River drainage US",7,26,"tmax",NA,"SD",10,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Oncorhynchus","mykiss","122","Froese & Pauly, 2000","","","migratory","NatureServe, 2020","Spring","Spring","NatureServe, 2020","Nikki","4015","Froese & Pauly, 2000;NatureServe, 2020"
1972,"Oncorhynchus mykiss","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Beitinger et al. 2000","Comte","Oncorhynchus mykiss_36.96_NA_-92.67","10",36.96,-92.67,"","Ava Missouri US",20,28,"tmax",0.36,"SD",10,"critical","LOE","0.3",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Oncorhynchus","mykiss","122","Froese & Pauly, 2000","","","migratory","NatureServe, 2020","Spring","Spring","NatureServe, 2020","Nikki","4015","Froese & Pauly, 2000;NatureServe, 2020"
1973,"Oncorhynchus mykiss","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Beitinger et al. 2000","Comte","Oncorhynchus mykiss_36.96_NA_-92.67","15",36.96,-92.67,"","Ava Missouri US",20,29.1,"tmax",0.27,"SD",10,"critical","LOE","0.3",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Oncorhynchus","mykiss","122","Froese & Pauly, 2000","","","migratory","NatureServe, 2020","Spring","Spring","NatureServe, 2020","Nikki","4015","Froese & Pauly, 2000;NatureServe, 2020"
1974,"Oncorhynchus mykiss","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Beitinger et al. 2000","Comte","Oncorhynchus mykiss_36.96_NA_-92.67","20",36.96,-92.67,"","Ava Missouri US",20,29.8,"tmax",0.36,"SD",10,"critical","LOE","0.3",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Oncorhynchus","mykiss","122","Froese & Pauly, 2000","","","migratory","NatureServe, 2020","Spring","Spring","NatureServe, 2020","Nikki","4015","Froese & Pauly, 2000;NatureServe, 2020"
1979,"Oncorhynchus mykiss","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Yoder et al. 2012","Comte","Oncorhynchus mykiss_47.29_NA_-89.98","16",47.29,-89.98,"","Lake superior Minessota US",NA,25.6,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Oncorhynchus","mykiss","122","Froese & Pauly, 2000","","","migratory","NatureServe, 2020","Spring","Spring","NatureServe, 2020","Nikki","4015","Froese & Pauly, 2000;NatureServe, 2020"
1980,"Oncorhynchus mykiss","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Yoder et al. 2012","Comte","Oncorhynchus mykiss_47.29_NA_-89.98","16",47.29,-89.98,"","Lake superior Minessota US",NA,25.7,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Oncorhynchus","mykiss","122","Froese & Pauly, 2000","","","migratory","NatureServe, 2020","Spring","Spring","NatureServe, 2020","Nikki","4015","Froese & Pauly, 2000;NatureServe, 2020"
1981,"Oncorhynchus mykiss","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Yoder et al. 2012","Comte","Oncorhynchus mykiss_48.16_NA_-86.74","15",48.16,-86.74,"","Great lakes Ontario Canada",NA,26,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Oncorhynchus","mykiss","122","Froese & Pauly, 2000","","","migratory","NatureServe, 2020","Spring","Spring","NatureServe, 2020","Nikki","4015","Froese & Pauly, 2000;NatureServe, 2020"
1989,"Oncorhynchus mykiss","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Spina et al. 2007","Comte","Oncorhynchus mykiss_44.567047_NA_-110.843414","5",44.567047,-110.843414,"inferred","Firehole River of Yellowstone National Park near the mouth of Sentinel Creek, Wyoming, United States",NA,25,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile","Kaya CM (1978) Thermal resistance of rainbow trout from a permanently heated stream, and of two hatchery strains. Prog Fish Cult 40:138–142","Freshwater",NA,"Oncorhynchus","mykiss","122","Froese & Pauly, 2000","","","migratory","NatureServe, 2020","Spring","Spring","NatureServe, 2020","Nikki","4015","Froese & Pauly, 2000;NatureServe, 2020"
1990,"Oncorhynchus mykiss","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Spina et al. 2007","Comte","Oncorhynchus mykiss_44.567047_NA_-110.843414","9",44.567047,-110.843414,"inferred","Firehole River of Yellowstone National Park near the mouth of Sentinel Creek, Wyoming, United States",NA,25.2,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile","Kaya CM (1978) Thermal resistance of rainbow trout from a permanently heated stream, and of two hatchery strains. Prog Fish Cult 40:138–142","Freshwater",NA,"Oncorhynchus","mykiss","122","Froese & Pauly, 2000","","","migratory","NatureServe, 2020","Spring","Spring","NatureServe, 2020","Nikki","4015","Froese & Pauly, 2000;NatureServe, 2020"
2089,"Perca flavescens","Chordata","Teleostei","Perciformes","Percidae",NA,"Cherry et al. 1977","Comte","Perca flavescens_36.94_NA_-81.05","23",36.94,-81.05,"","New River drainage US",7,26,"tmax",NA,"SD",10,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Perca","flavescens","50","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","4015","Froese & Pauly, 2000"
2094,"Perca flavescens","Chordata","Teleostei","Perciformes","Percidae",NA,"Yoder et al. 2012","Comte","Perca flavescens_46.62_NA_-92.65","28",46.62,-92.65,"","Park Lake Minnesota US",NA,34,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Perca","flavescens","50","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","4015","Froese & Pauly, 2000"
2099,"Perca fluviatilis","Chordata","Teleostei","Perciformes","Percidae",NA,"Horoszewicz 1973","Comte","Perca fluviatilis_52.29_NA_18.24","23.27",52.29,18.24,"","Goslawskie Lake Poland",NA,35.21,"tmax",0.57,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Perca","fluviatilis","60","Froese & Pauly, 2000","","Le Cren, 1951","non-migratory","Riede, 2004","","","","Nacho/Nikki","8030","IUCN, 2020;Froese & Pauly, 2000"
2100,"Perca fluviatilis","Chordata","Teleostei","Perciformes","Percidae",NA,"Horoszewicz 1973","Comte","Perca fluviatilis_52.29_NA_18.24","23.78",52.29,18.24,"","Goslawskie Lake Poland",NA,34.8,"tmax",0.46,"SD",18,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Perca","fluviatilis","60","Froese & Pauly, 2000","","Le Cren, 1951","non-migratory","Riede, 2004","","","","Nacho/Nikki","8030","IUCN, 2020;Froese & Pauly, 2000"
2101,"Perca fluviatilis","Chordata","Teleostei","Perciformes","Percidae",NA,"Horoszewicz 1973","Comte","Perca fluviatilis_52.29_NA_18.24","20.63",52.29,18.24,"","Slesinskie Lake, Konin, Poland",NA,32.98,"tmax",0.58,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Perca","fluviatilis","60","Froese & Pauly, 2000","","Le Cren, 1951","non-migratory","Riede, 2004","","","","Nacho/Nikki","8030","IUCN, 2020;Froese & Pauly, 2000"
2102,"Perca fluviatilis","Chordata","Teleostei","Perciformes","Percidae",NA,"Horoszewicz 1973","Comte","Perca fluviatilis_52.29_NA_18.24","25.28",52.29,18.24,"","Slesinskie Lake, Konin, Poland",NA,35.3,"tmax",0.22,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Perca","fluviatilis","60","Froese & Pauly, 2000","","Le Cren, 1951","non-migratory","Riede, 2004","","","","Nacho/Nikki","8030","IUCN, 2020;Froese & Pauly, 2000"
2103,"Perca fluviatilis","Chordata","Teleostei","Perciformes","Percidae",NA,"Horoszewicz 1973","Comte","Perca fluviatilis_52.29_NA_18.24","27.37",52.29,18.24,"","Slesinskie Lake, Konin, Poland",NA,35.6,"tmax",0.78,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Perca","fluviatilis","60","Froese & Pauly, 2000","","Le Cren, 1951","non-migratory","Riede, 2004","","","","Nacho/Nikki","8030","IUCN, 2020;Froese & Pauly, 2000"
2104,"Perca fluviatilis","Chordata","Teleostei","Perciformes","Percidae",NA,"Horoszewicz 1973","Comte","Perca fluviatilis_52.34_NA_18.35","25",52.34,18.35,"","Lichenskie Lake Poland",NA,35.23,"tmax",0.43,"SD",9,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Perca","fluviatilis","60","Froese & Pauly, 2000","","Le Cren, 1951","non-migratory","Riede, 2004","","","","Nacho/Nikki","8030","IUCN, 2020;Froese & Pauly, 2000"
2105,"Perca fluviatilis","Chordata","Teleostei","Perciformes","Percidae",NA,"Horoszewicz 1973","Comte","Perca fluviatilis_52.34_NA_18.35","27.39",52.34,18.35,"","Lichenskie Lake Poland",NA,35.87,"tmax",0.3,"SD",23,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Perca","fluviatilis","60","Froese & Pauly, 2000","","Le Cren, 1951","non-migratory","Riede, 2004","","","","Nacho/Nikki","8030","IUCN, 2020;Froese & Pauly, 2000"
2106,"Perca fluviatilis","Chordata","Teleostei","Perciformes","Percidae",NA,"Golovanov 2013","Comte","Perca fluviatilis_58.44_NA_38.42","15",58.44,38.42,"","Rybinsk Water Reservoir Russia",14,33.2,"tmax",0.2,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Perca","fluviatilis","60","Froese & Pauly, 2000","","Le Cren, 1951","non-migratory","Riede, 2004","","","","Nacho/Nikki","8030","IUCN, 2020;Froese & Pauly, 2000"
2107,"Perca fluviatilis","Chordata","Teleostei","Perciformes","Percidae",NA,"Golovanov 2013","Comte","Perca fluviatilis_58.44_NA_38.42","15",58.44,38.42,"","Rybinsk Water Reservoir Russia",14,32,"tmax",0.1,"SD",NA,"critical","LOE",NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Perca","fluviatilis","60","Froese & Pauly, 2000","","Le Cren, 1951","non-migratory","Riede, 2004","","","","Nacho/Nikki","8030","IUCN, 2020;Froese & Pauly, 2000"
2110,"Pimephales notatus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Cherry et al. 1977","Comte","Pimephales notatus_36.94_NA_-81.05","30",36.94,-81.05,"","New River drainage US",7,32,"tmax",NA,"SD",10,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Pimephales","notatus","11","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1825","Meyers et al., 2015;Froese & Pauly, 2000"
2193,"Pomoxis annularis","Chordata","Teleostei","Perciformes","Centrarchidae",NA,"Yoder et al. 2012","Comte","Pomoxis annularis_39.4_NA_-106.51","29",39.4,-106.51,"","Missouri lakes Colorado US",NA,32.6,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Pomoxis","annularis","53","Froese & Pauly, 2000","","NatureServe, 2020","non-migratory","NatureServe, 2020","","","","Sarah/Nikki","3650","Meyers et al., 2015"
2195,"Pomoxis nigromaculatus","Chordata","Teleostei","Perciformes","Centrarchidae",NA,"Yoder et al. 2012","Comte","Pomoxis nigromaculatus_40.2_NA_-89.47","24",40.2,-89.47,"","Illinois US",NA,35,"tmax",NA,"SD",NA,"lethal",NA,NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Pomoxis","nigromaculatus","49","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","5475","Meyers et al., 2015"
2196,"Pomoxis nigromaculatus","Chordata","Teleostei","Perciformes","Centrarchidae",NA,"Yoder et al. 2012","Comte","Pomoxis nigromaculatus_40.2_NA_-89.47","30",40.2,-89.47,"","Illinois US",NA,38,"tmax",NA,"SD",NA,"lethal",NA,NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Pomoxis","nigromaculatus","49","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","5475","Meyers et al., 2015"
2197,"Pomoxis nigromaculatus","Chordata","Teleostei","Perciformes","Centrarchidae",NA,"Yoder et al. 2012","Comte","Pomoxis nigromaculatus_40.2_NA_-89.47","32",40.2,-89.47,"","Illinois US",NA,40.39,"tmax",NA,"SD",NA,"lethal",NA,NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Pomoxis","nigromaculatus","49","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","5475","Meyers et al., 2015"
2603,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Rutilus rutilus_52.29_NA_18.24","22.58",52.29,18.24,"","Goslawskie Lake Poland",NA,33.31,"tmax",1.79,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2604,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Rutilus rutilus_52.29_NA_18.24","22.66",52.29,18.24,"","Goslawskie Lake Poland",NA,34.79,"tmax",1.42,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2605,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Rutilus rutilus_52.29_NA_18.24","23.26",52.29,18.24,"","Goslawskie Lake Poland",NA,35.35,"tmax",1.39,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2606,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Rutilus rutilus_52.29_NA_18.24","24.27",52.29,18.24,"","Goslawskie Lake Poland",NA,34.02,"tmax",0.69,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2607,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Rutilus rutilus_52.29_NA_18.24","20.6",52.29,18.24,"","Slesinskie Lake, Konin, Poland",NA,33.21,"tmax",0.7,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2608,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Rutilus rutilus_52.29_NA_18.24","20.81",52.29,18.24,"","Slesinskie Lake, Konin, Poland",NA,32.2,"tmax",1.19,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2609,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Rutilus rutilus_52.29_NA_18.24","22.29",52.29,18.24,"","Slesinskie Lake, Konin, Poland",NA,32.24,"tmax",1.12,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2610,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Rutilus rutilus_52.29_NA_18.24","23.29",52.29,18.24,"","Slesinskie Lake, Konin, Poland",NA,35.01,"tmax",1.72,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2611,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Rutilus rutilus_52.29_NA_18.24","24.43",52.29,18.24,"","Slesinskie Lake, Konin, Poland",NA,36.06,"tmax",0.39,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2612,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Rutilus rutilus_52.29_NA_18.24","26.94",52.29,18.24,"","Slesinskie Lake, Konin, Poland",NA,35.38,"tmax",0.55,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2613,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Rutilus rutilus_52.34_NA_18.35","24.93",52.34,18.35,"","Lichenskie Lake Poland",NA,36.48,"tmax",0.25,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2614,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Rutilus rutilus_52.34_NA_18.35","25.61",52.34,18.35,"","Lichenskie Lake Poland",NA,36.17,"tmax",0.3,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2615,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Rutilus rutilus_52.34_NA_18.35","25.61",52.34,18.35,"","Lichenskie Lake Poland",NA,35.35,"tmax",0.48,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2616,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Rutilus rutilus_52.34_NA_18.35","27.23",52.34,18.35,"","Lichenskie Lake Poland",NA,36.16,"tmax",0.58,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2617,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Rutilus rutilus_52.34_NA_18.35","27.71",52.34,18.35,"","Lichenskie Lake Poland",NA,35.66,"tmax",1.35,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2618,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Rutilus rutilus_52.34_NA_18.35","29.7",52.34,18.35,"","Lichenskie Lake Poland",NA,37.82,"tmax",0.82,"SD",NA,"lethal","death","0.11",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2626,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Golovanov 2013","Comte","Rutilus rutilus_58.44_NA_38.42","15",58.44,38.42,"","Rybinsk Water Reservoir Russia",14,32.6,"tmax",0.3,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2627,"Rutilus rutilus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Golovanov 2013","Comte","Rutilus rutilus_58.44_NA_38.42","15",58.44,38.42,"","Rybinsk Water Reservoir Russia",14,32,"tmax",0.3,"SD",NA,"critical","LOE",NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Rutilus","rutilus","50.2","Froese & Pauly, 2000","","Heermann & Borcherding, 2006","non-migratory","Kestemont et al., 1999;Skov et al., 2013","","","","Nikki","5110","IUCN, 2020;Froese & Pauly, 2000"
2637,"Salmo trutta","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Cherry et al. 1977","Comte","Salmo trutta_36.94_NA_-81.05","20",36.94,-81.05,"","New River drainage US",7,23,"tmax",NA,"SD",10,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Salmo","trutta","140","Froese & Pauly, 2000","","","migratory","IUCN, 2020","May-Oct","","Saraniemi et al., 2008;IUCN, 2020","Nikki","13870","NatureServe, 2020"
2638,"Salmo trutta","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Yoder et al. 2012","Comte","Salmo trutta_52.37_NA_-1.18","6",52.37,-1.18,"","England",NA,23.2,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Salmo","trutta","140","Froese & Pauly, 2000","","","migratory","IUCN, 2020","May-Oct","","Saraniemi et al., 2008;IUCN, 2020","Nikki","13870","NatureServe, 2020"
2639,"Salmo trutta","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Yoder et al. 2012","Comte","Salmo trutta_52.37_NA_-1.18","15",52.37,-1.18,"","England",NA,26,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Salmo","trutta","140","Froese & Pauly, 2000","","","migratory","IUCN, 2020","May-Oct","","Saraniemi et al., 2008;IUCN, 2020","Nikki","13870","NatureServe, 2020"
2640,"Salmo trutta","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Yoder et al. 2012","Comte","Salmo trutta_52.37_NA_-1.18","20",52.37,-1.18,"","England",NA,26.4,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Salmo","trutta","140","Froese & Pauly, 2000","","","migratory","IUCN, 2020","May-Oct","","Saraniemi et al., 2008;IUCN, 2020","Nikki","13870","NatureServe, 2020"
2675,"Salvelinus alpinus","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Baroudy & Elliott 1994","Comte","Salvelinus alpinus_54.31_NA_-2.95","5",54.31,-2.95,"","Windermire South basin England",7,22,"tmax",0.48,"SD",4,"critical","LOE","0.033",NA,NA,NA,NA,NA,"Juvenile",NA,"Freshwater",NA,"Salvelinus","alpinus","107","Froese & Pauly, 2000","","Mortensen et al., 2007","migratory","IUCN, 2020","Summer","Summer","DeCicco, 1992;Meyers et al., 2015","Nacho/Nikki","14600","Meyers et al., 2015;Froese & Pauly, 2000"
