"","intratherm_id","genus_species","genus","species","phylum","class","order","family","extractor","ref","original_compilation","population_id","acclim_temp","latitude","longitude","coordinates_source","genus_from_study","species_from_study","location_description","acclim_time","parameter_value","parameter_tmax_or_tmin","error_estimate","error_type","sample_size","metric_type","metric_description","ramping_rate","ramping_to_reach_st","duration_of_chronic_exposure","temp_before_pretreament_held_or_ff_for_field_fresh","timing_of_collection","elevation_of_collection","life_stage.x","notes.x","record_number","record","realm_general2","acclim_time_original","acclim_time_units","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","logic_source_for_dispersal_distance2","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km...migratory.only.","season_when_away_100km...migratory.only.","logic_source_season_when_away","data_gatherer","Home.range.size_Km2","logic.source_for_Home.range.size","lifespan_days","lifespan_days_reference","Notes","raster_mean"
"140",669,"Cyprinus carpio","Cyprinus","carpio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Cyprinus carpio_26.47_NA",10,26.47,99.15,"","Cyprinus","carpio","Dahuofang reservoir Yingpan China",NA,31.48,"tmax",0.12,"SD",NA,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"1460","4-6 years (IUCN Red List)","1095","3-5 years (IUCN Red List)",NA,"10-100","MOVEMENT:  85% recaptured were within 20 km of their release location+ 7% moved 100+km+ 890 km maximum distance moved (https://doi.org/10.1111/j.1365-2400.2006.00495.x) LARVAE: adhesive eggs and larvae inhabit backwater ",NA,"120","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","not seasonal https://doi.org/10.1111/j.1365-2400.2006.00495.x",NA,NA,"figure 2 shows no seasonal migration pattern (https://doi.org/10.1111/j.1365-2400.2006.00495.x)+ therefore not considered migration by our def.","Nikki","78.54","80% stayed within 5 km of release - used as radius (https://doi.org/10.1111/j.1365-2400.2006.00495.x)","13870","17-20 years typical+ 38 years max (fishbase + NatureServe Explorer)",NA,NA
"141",670,"Cyprinus carpio","Cyprinus","carpio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Cyprinus carpio_26.47_NA",15,26.47,99.15,"","Cyprinus","carpio","Dahuofang reservoir Yingpan China",NA,33.86,"tmax",0.14,"SD",NA,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"1460","4-6 years (IUCN Red List)","1095","3-5 years (IUCN Red List)",NA,"10-100","MOVEMENT:  85% recaptured were within 20 km of their release location+ 7% moved 100+km+ 890 km maximum distance moved (https://doi.org/10.1111/j.1365-2400.2006.00495.x) LARVAE: adhesive eggs and larvae inhabit backwater ",NA,"120","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","not seasonal https://doi.org/10.1111/j.1365-2400.2006.00495.x",NA,NA,"figure 2 shows no seasonal migration pattern (https://doi.org/10.1111/j.1365-2400.2006.00495.x)+ therefore not considered migration by our def.","Nikki","78.54","80% stayed within 5 km of release - used as radius (https://doi.org/10.1111/j.1365-2400.2006.00495.x)","13870","17-20 years typical+ 38 years max (fishbase + NatureServe Explorer)",NA,NA
"142",671,"Cyprinus carpio","Cyprinus","carpio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Cyprinus carpio_26.47_NA",20,26.47,99.15,"","Cyprinus","carpio","Dahuofang reservoir Yingpan China",NA,34.18,"tmax",0.15,"SD",NA,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"1460","4-6 years (IUCN Red List)","1095","3-5 years (IUCN Red List)",NA,"10-100","MOVEMENT:  85% recaptured were within 20 km of their release location+ 7% moved 100+km+ 890 km maximum distance moved (https://doi.org/10.1111/j.1365-2400.2006.00495.x) LARVAE: adhesive eggs and larvae inhabit backwater ",NA,"120","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","not seasonal https://doi.org/10.1111/j.1365-2400.2006.00495.x",NA,NA,"figure 2 shows no seasonal migration pattern (https://doi.org/10.1111/j.1365-2400.2006.00495.x)+ therefore not considered migration by our def.","Nikki","78.54","80% stayed within 5 km of release - used as radius (https://doi.org/10.1111/j.1365-2400.2006.00495.x)","13870","17-20 years typical+ 38 years max (fishbase + NatureServe Explorer)",NA,NA
"143",672,"Cyprinus carpio","Cyprinus","carpio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Cyprinus carpio_26.47_NA",25,26.47,99.15,"","Cyprinus","carpio","Dahuofang reservoir Yingpan China",NA,35,"tmax",0.15,"SD",NA,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"1460","4-6 years (IUCN Red List)","1095","3-5 years (IUCN Red List)",NA,"10-100","MOVEMENT:  85% recaptured were within 20 km of their release location+ 7% moved 100+km+ 890 km maximum distance moved (https://doi.org/10.1111/j.1365-2400.2006.00495.x) LARVAE: adhesive eggs and larvae inhabit backwater ",NA,"120","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","not seasonal https://doi.org/10.1111/j.1365-2400.2006.00495.x",NA,NA,"figure 2 shows no seasonal migration pattern (https://doi.org/10.1111/j.1365-2400.2006.00495.x)+ therefore not considered migration by our def.","Nikki","78.54","80% stayed within 5 km of release - used as radius (https://doi.org/10.1111/j.1365-2400.2006.00495.x)","13870","17-20 years typical+ 38 years max (fishbase + NatureServe Explorer)",NA,NA
"144",673,"Cyprinus carpio","Cyprinus","carpio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Cyprinus carpio_26.47_NA",30,26.47,99.15,"","Cyprinus","carpio","Dahuofang reservoir Yingpan China",NA,35.62,"tmax",0.15,"SD",NA,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"1460","4-6 years (IUCN Red List)","1095","3-5 years (IUCN Red List)",NA,"10-100","MOVEMENT:  85% recaptured were within 20 km of their release location+ 7% moved 100+km+ 890 km maximum distance moved (https://doi.org/10.1111/j.1365-2400.2006.00495.x) LARVAE: adhesive eggs and larvae inhabit backwater ",NA,"120","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","not seasonal https://doi.org/10.1111/j.1365-2400.2006.00495.x",NA,NA,"figure 2 shows no seasonal migration pattern (https://doi.org/10.1111/j.1365-2400.2006.00495.x)+ therefore not considered migration by our def.","Nikki","78.54","80% stayed within 5 km of release - used as radius (https://doi.org/10.1111/j.1365-2400.2006.00495.x)","13870","17-20 years typical+ 38 years max (fishbase + NatureServe Explorer)",NA,NA
"145",674,"Cyprinus carpio","Cyprinus","carpio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Cyprinus carpio_26.47_NA",35,26.47,99.15,"","Cyprinus","carpio","Dahuofang reservoir Yingpan China",NA,40.92,"tmax",0.15,"SD",NA,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"1460","4-6 years (IUCN Red List)","1095","3-5 years (IUCN Red List)",NA,"10-100","MOVEMENT:  85% recaptured were within 20 km of their release location+ 7% moved 100+km+ 890 km maximum distance moved (https://doi.org/10.1111/j.1365-2400.2006.00495.x) LARVAE: adhesive eggs and larvae inhabit backwater ",NA,"120","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","not seasonal https://doi.org/10.1111/j.1365-2400.2006.00495.x",NA,NA,"figure 2 shows no seasonal migration pattern (https://doi.org/10.1111/j.1365-2400.2006.00495.x)+ therefore not considered migration by our def.","Nikki","78.54","80% stayed within 5 km of release - used as radius (https://doi.org/10.1111/j.1365-2400.2006.00495.x)","13870","17-20 years typical+ 38 years max (fishbase + NatureServe Explorer)",NA,NA
"146",675,"Cyprinus carpio","Cyprinus","carpio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Cyprinus carpio_26.47_NA",15,26.47,99.15,"","Cyprinus","carpio","Dahuofang reservoir Yingpan China",NA,35.15,"tmax",0.14,"SD",NA,"critical","OS","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"1460","4-6 years (IUCN Red List)","1095","3-5 years (IUCN Red List)",NA,"10-100","MOVEMENT:  85% recaptured were within 20 km of their release location+ 7% moved 100+km+ 890 km maximum distance moved (https://doi.org/10.1111/j.1365-2400.2006.00495.x) LARVAE: adhesive eggs and larvae inhabit backwater ",NA,"120","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","not seasonal https://doi.org/10.1111/j.1365-2400.2006.00495.x",NA,NA,"figure 2 shows no seasonal migration pattern (https://doi.org/10.1111/j.1365-2400.2006.00495.x)+ therefore not considered migration by our def.","Nikki","78.54","80% stayed within 5 km of release - used as radius (https://doi.org/10.1111/j.1365-2400.2006.00495.x)","13870","17-20 years typical+ 38 years max (fishbase + NatureServe Explorer)",NA,NA
"147",676,"Cyprinus carpio","Cyprinus","carpio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Cyprinus carpio_26.47_NA",20,26.47,99.15,"","Cyprinus","carpio","Dahuofang reservoir Yingpan China",NA,37.82,"tmax",0.16,"SD",NA,"critical","OS","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"1460","4-6 years (IUCN Red List)","1095","3-5 years (IUCN Red List)",NA,"10-100","MOVEMENT:  85% recaptured were within 20 km of their release location+ 7% moved 100+km+ 890 km maximum distance moved (https://doi.org/10.1111/j.1365-2400.2006.00495.x) LARVAE: adhesive eggs and larvae inhabit backwater ",NA,"120","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","not seasonal https://doi.org/10.1111/j.1365-2400.2006.00495.x",NA,NA,"figure 2 shows no seasonal migration pattern (https://doi.org/10.1111/j.1365-2400.2006.00495.x)+ therefore not considered migration by our def.","Nikki","78.54","80% stayed within 5 km of release - used as radius (https://doi.org/10.1111/j.1365-2400.2006.00495.x)","13870","17-20 years typical+ 38 years max (fishbase + NatureServe Explorer)",NA,NA
"148",677,"Cyprinus carpio","Cyprinus","carpio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Cyprinus carpio_26.47_NA",25,26.47,99.15,"","Cyprinus","carpio","Dahuofang reservoir Yingpan China",NA,39.33,"tmax",0.15,"SD",NA,"critical","OS","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"1460","4-6 years (IUCN Red List)","1095","3-5 years (IUCN Red List)",NA,"10-100","MOVEMENT:  85% recaptured were within 20 km of their release location+ 7% moved 100+km+ 890 km maximum distance moved (https://doi.org/10.1111/j.1365-2400.2006.00495.x) LARVAE: adhesive eggs and larvae inhabit backwater ",NA,"120","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","not seasonal https://doi.org/10.1111/j.1365-2400.2006.00495.x",NA,NA,"figure 2 shows no seasonal migration pattern (https://doi.org/10.1111/j.1365-2400.2006.00495.x)+ therefore not considered migration by our def.","Nikki","78.54","80% stayed within 5 km of release - used as radius (https://doi.org/10.1111/j.1365-2400.2006.00495.x)","13870","17-20 years typical+ 38 years max (fishbase + NatureServe Explorer)",NA,NA
"149",678,"Cyprinus carpio","Cyprinus","carpio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Cyprinus carpio_26.47_NA",30,26.47,99.15,"","Cyprinus","carpio","Dahuofang reservoir Yingpan China",NA,41.65,"tmax",0.15,"SD",NA,"critical","OS","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"1460","4-6 years (IUCN Red List)","1095","3-5 years (IUCN Red List)",NA,"10-100","MOVEMENT:  85% recaptured were within 20 km of their release location+ 7% moved 100+km+ 890 km maximum distance moved (https://doi.org/10.1111/j.1365-2400.2006.00495.x) LARVAE: adhesive eggs and larvae inhabit backwater ",NA,"120","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","not seasonal https://doi.org/10.1111/j.1365-2400.2006.00495.x",NA,NA,"figure 2 shows no seasonal migration pattern (https://doi.org/10.1111/j.1365-2400.2006.00495.x)+ therefore not considered migration by our def.","Nikki","78.54","80% stayed within 5 km of release - used as radius (https://doi.org/10.1111/j.1365-2400.2006.00495.x)","13870","17-20 years typical+ 38 years max (fishbase + NatureServe Explorer)",NA,NA
"150",679,"Cyprinus carpio","Cyprinus","carpio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Cyprinus carpio_26.47_NA",35,26.47,99.15,"","Cyprinus","carpio","Dahuofang reservoir Yingpan China",NA,42.69,"tmax",0.15,"SD",NA,"critical","OS","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"1460","4-6 years (IUCN Red List)","1095","3-5 years (IUCN Red List)",NA,"10-100","MOVEMENT:  85% recaptured were within 20 km of their release location+ 7% moved 100+km+ 890 km maximum distance moved (https://doi.org/10.1111/j.1365-2400.2006.00495.x) LARVAE: adhesive eggs and larvae inhabit backwater ",NA,"120","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","31","TL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","not seasonal https://doi.org/10.1111/j.1365-2400.2006.00495.x",NA,NA,"figure 2 shows no seasonal migration pattern (https://doi.org/10.1111/j.1365-2400.2006.00495.x)+ therefore not considered migration by our def.","Nikki","78.54","80% stayed within 5 km of release - used as radius (https://doi.org/10.1111/j.1365-2400.2006.00495.x)","13870","17-20 years typical+ 38 years max (fishbase + NatureServe Explorer)",NA,NA
"151",707,"Danio rerio","Danio","rerio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sidhu et al. 2014","Comte","Danio rerio_1.35_NA",25,1.35,103.81,"","Danio","rerio","Singapour",28,39.9,"tmax",0.45,"SD",20,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","28","days",NA,"90","3 months (doi:10.1089/zeb.2014.0976)","90","3 months (doi:10.1089/zeb.2014.0976)",NA,"unk","GENETIC: study suggests high connectivity between populations more than 100km apart but might be a bit of a stretch (https://doi.org/10.1046/j.0947-5745.2003.00240.x)",NA,"3.8","SL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","tropical fish (fishbase)","non-migratory","https://doi.org/10.1080/10236240600562844",NA,NA,NA,"Nikki","unk",NA,"365","annual species+ max 1 year - IUCN redlist",NA,NA
"152",708,"Danio rerio","Danio","rerio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Majhi & Das 2013","Comte","Danio rerio_25.67_NA",20,25.67,91.93,"","Danio","rerio","Barapani Meghalaya India",45,39.8,"tmax",0.07,"SD",NA,"lethal","death","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","45","days",NA,"90","3 months (doi:10.1089/zeb.2014.0976)","90","3 months (doi:10.1089/zeb.2014.0976)",NA,"unk","GENETIC: study suggests high connectivity between populations more than 100km apart but might be a bit of a stretch (https://doi.org/10.1046/j.0947-5745.2003.00240.x)",NA,"3.8","SL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","tropical fish (fishbase)","non-migratory","https://doi.org/10.1080/10236240600562844",NA,NA,NA,"Nikki","unk",NA,"365","annual species+ max 1 year - IUCN redlist",NA,NA
"153",709,"Danio rerio","Danio","rerio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Majhi & Das 2013","Comte","Danio rerio_25.67_NA",25,25.67,91.93,"","Danio","rerio","Barapani Meghalaya India",45,40.4,"tmax",0.05,"SD",NA,"lethal","death","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","45","days",NA,"90","3 months (doi:10.1089/zeb.2014.0976)","90","3 months (doi:10.1089/zeb.2014.0976)",NA,"unk","GENETIC: study suggests high connectivity between populations more than 100km apart but might be a bit of a stretch (https://doi.org/10.1046/j.0947-5745.2003.00240.x)",NA,"3.8","SL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","tropical fish (fishbase)","non-migratory","https://doi.org/10.1080/10236240600562844",NA,NA,NA,"Nikki","unk",NA,"365","annual species+ max 1 year - IUCN redlist",NA,NA
"154",710,"Danio rerio","Danio","rerio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Majhi & Das 2013","Comte","Danio rerio_25.67_NA",30,25.67,91.93,"","Danio","rerio","Barapani Meghalaya India",45,41.2,"tmax",0.15,"SD",NA,"lethal","death","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","45","days",NA,"90","3 months (doi:10.1089/zeb.2014.0976)","90","3 months (doi:10.1089/zeb.2014.0976)",NA,"unk","GENETIC: study suggests high connectivity between populations more than 100km apart but might be a bit of a stretch (https://doi.org/10.1046/j.0947-5745.2003.00240.x)",NA,"3.8","SL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","tropical fish (fishbase)","non-migratory","https://doi.org/10.1080/10236240600562844",NA,NA,NA,"Nikki","unk",NA,"365","annual species+ max 1 year - IUCN redlist",NA,NA
"155",711,"Danio rerio","Danio","rerio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Majhi & Das 2013","Comte","Danio rerio_25.67_NA",35,25.67,91.93,"","Danio","rerio","Barapani Meghalaya India",45,42.2,"tmax",0.07,"SD",NA,"lethal","death","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","45","days",NA,"90","3 months (doi:10.1089/zeb.2014.0976)","90","3 months (doi:10.1089/zeb.2014.0976)",NA,"unk","GENETIC: study suggests high connectivity between populations more than 100km apart but might be a bit of a stretch (https://doi.org/10.1046/j.0947-5745.2003.00240.x)",NA,"3.8","SL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","tropical fish (fishbase)","non-migratory","https://doi.org/10.1080/10236240600562844",NA,NA,NA,"Nikki","unk",NA,"365","annual species+ max 1 year - IUCN redlist",NA,NA
"156",712,"Danio rerio","Danio","rerio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Majhi & Das 2013","Comte","Danio rerio_25.67_NA",20,25.67,91.93,"","Danio","rerio","Barapani Meghalaya India",45,36.4,"tmax",0.12,"SD",NA,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","45","days",NA,"90","3 months (doi:10.1089/zeb.2014.0976)","90","3 months (doi:10.1089/zeb.2014.0976)",NA,"unk","GENETIC: study suggests high connectivity between populations more than 100km apart but might be a bit of a stretch (https://doi.org/10.1046/j.0947-5745.2003.00240.x)",NA,"3.8","SL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","tropical fish (fishbase)","non-migratory","https://doi.org/10.1080/10236240600562844",NA,NA,NA,"Nikki","unk",NA,"365","annual species+ max 1 year - IUCN redlist",NA,NA
"157",713,"Danio rerio","Danio","rerio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Majhi & Das 2013","Comte","Danio rerio_25.67_NA",25,25.67,91.93,"","Danio","rerio","Barapani Meghalaya India",45,37.2,"tmax",0.1,"SD",NA,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","45","days",NA,"90","3 months (doi:10.1089/zeb.2014.0976)","90","3 months (doi:10.1089/zeb.2014.0976)",NA,"unk","GENETIC: study suggests high connectivity between populations more than 100km apart but might be a bit of a stretch (https://doi.org/10.1046/j.0947-5745.2003.00240.x)",NA,"3.8","SL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","tropical fish (fishbase)","non-migratory","https://doi.org/10.1080/10236240600562844",NA,NA,NA,"Nikki","unk",NA,"365","annual species+ max 1 year - IUCN redlist",NA,NA
"158",714,"Danio rerio","Danio","rerio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Majhi & Das 2013","Comte","Danio rerio_25.67_NA",30,25.67,91.93,"","Danio","rerio","Barapani Meghalaya India",45,38.7,"tmax",0.07,"SD",NA,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","45","days",NA,"90","3 months (doi:10.1089/zeb.2014.0976)","90","3 months (doi:10.1089/zeb.2014.0976)",NA,"unk","GENETIC: study suggests high connectivity between populations more than 100km apart but might be a bit of a stretch (https://doi.org/10.1046/j.0947-5745.2003.00240.x)",NA,"3.8","SL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","tropical fish (fishbase)","non-migratory","https://doi.org/10.1080/10236240600562844",NA,NA,NA,"Nikki","unk",NA,"365","annual species+ max 1 year - IUCN redlist",NA,NA
"159",715,"Danio rerio","Danio","rerio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Majhi & Das 2013","Comte","Danio rerio_25.67_NA",35,25.67,91.93,"","Danio","rerio","Barapani Meghalaya India",45,39.8,"tmax",0.02,"SD",NA,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","45","days",NA,"90","3 months (doi:10.1089/zeb.2014.0976)","90","3 months (doi:10.1089/zeb.2014.0976)",NA,"unk","GENETIC: study suggests high connectivity between populations more than 100km apart but might be a bit of a stretch (https://doi.org/10.1046/j.0947-5745.2003.00240.x)",NA,"3.8","SL male/unsexed -fishbase",NA,NA,NA,NA,NA,"none","tropical fish (fishbase)","non-migratory","https://doi.org/10.1080/10236240600562844",NA,NA,NA,"Nikki","unk",NA,"365","annual species+ max 1 year - IUCN redlist",NA,NA
"160",769,"Dorosoma cepedianum","Dorosoma","cepedianum","Chordata","Teleostei","Clupeiformes","Clupeidae",NA,"Hart 1952","Comte","Dorosoma cepedianum_35.96_NA",25,35.96,-83.92,"","Dorosoma","cepedianum","Knoxville Tenesee US",NA,34.6,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,"pp. 515–560. London: Wiley.",NA,NA,"Freshwater",NA,"days",NA,"730","AnAge","730","AnAge",NA,"unk","LARVAE: pelagic larvae (DOI: 10.2307/2425511) and larval stage complete by 35-40mm TL (https://doi.org/10.1071/MF9900695) no growth rate found",NA,"57","TL male/unsexed -fishbase","35","SL male/unsexed -fishbase","35","SL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,"2190","4-6 years average+ 10 years max (fishbase + NatureServe Explorer)",NA,NA
"161",770,"Dorosoma cepedianum","Dorosoma","cepedianum","Chordata","Teleostei","Clupeiformes","Clupeidae",NA,"Hart 1952","Comte","Dorosoma cepedianum_35.96_NA",30,35.96,-83.92,"","Dorosoma","cepedianum","Knoxville Tenesee US",NA,35.8,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"730","AnAge","730","AnAge",NA,"unk","LARVAE: pelagic larvae (DOI: 10.2307/2425511) and larval stage complete by 35-40mm TL (https://doi.org/10.1071/MF9900695) no growth rate found",NA,"57","TL male/unsexed -fishbase","35","SL male/unsexed -fishbase","35","SL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,"2190","4-6 years average+ 10 years max (fishbase + NatureServe Explorer)",NA,NA
"162",772,"Dorosoma cepedianum","Dorosoma","cepedianum","Chordata","Teleostei","Clupeiformes","Clupeidae",NA,"Hart 1952","Comte","Dorosoma cepedianum_41.65_NA",25,41.65,-82.83,"","Dorosoma","cepedianum","Put-in Bay Ohio US",NA,34,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"730","AnAge","730","AnAge",NA,"unk","LARVAE: pelagic larvae (DOI: 10.2307/2425511) and larval stage complete by 35-40mm TL (https://doi.org/10.1071/MF9900695) no growth rate found",NA,"57","TL male/unsexed -fishbase","35","SL male/unsexed -fishbase","35","SL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,"2190","4-6 years average+ 10 years max (fishbase + NatureServe Explorer)",NA,NA
"163",773,"Dorosoma cepedianum","Dorosoma","cepedianum","Chordata","Teleostei","Clupeiformes","Clupeidae",NA,"Hart 1952","Comte","Dorosoma cepedianum_41.65_NA",30,41.65,-82.83,"","Dorosoma","cepedianum","Put-in Bay Ohio US",NA,36,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"730","AnAge","730","AnAge",NA,"unk","LARVAE: pelagic larvae (DOI: 10.2307/2425511) and larval stage complete by 35-40mm TL (https://doi.org/10.1071/MF9900695) no growth rate found",NA,"57","TL male/unsexed -fishbase","35","SL male/unsexed -fishbase","35","SL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,"2190","4-6 years average+ 10 years max (fishbase + NatureServe Explorer)",NA,NA
"164",774,"Dorosoma cepedianum","Dorosoma","cepedianum","Chordata","Teleostei","Clupeiformes","Clupeidae",NA,"Hart 1952","Comte","Dorosoma cepedianum_41.65_NA",35,41.65,-82.83,"","Dorosoma","cepedianum","Put-in Bay Ohio US",NA,36.5,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,"730","AnAge","730","AnAge",NA,"unk","LARVAE: pelagic larvae (DOI: 10.2307/2425511) and larval stage complete by 35-40mm TL (https://doi.org/10.1071/MF9900695) no growth rate found",NA,"57","TL male/unsexed -fishbase","35","SL male/unsexed -fishbase","35","SL male/unsexed -fishbase","Y","none","no dormancy reported","non-migratory","IUCN Red List",NA,NA,NA,"Nikki","unk",NA,"2190","4-6 years average+ 10 years max (fishbase + NatureServe Explorer)",NA,NA
